content,polarity,Target
"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6",P,1
"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto""",N,0
Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.,N,0
#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano,P,1
"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!",N,0
Me encanta ver por aqui  a @TuDNIe ;-)),P,1
si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b,P,1
“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!,P,1
El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él,N,0
El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG,P,1
"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30",N,0
Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.,N,0
"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya",N,0
RT @FanClubMASes: Éstas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv,P,1
¿Crisis de identidad? RT @LoidaLois @EvaORegan ¡¡¡Tú eres española por encima de todo!!!,N,0
El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32,P,1
Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor,N,0
"Así me gusta, Mónica “@moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”",P,1
Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.,P,1
"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.",N,0
@GFVara la ley del embudo...característica de la derecha española. Animo,N,0
"Eso no es cierto, nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz  ¬¬ POR QE!!! (cont) http://t.co/7DyF7Sus",P,1
"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h @giraldatv.es http://t.co/Ns8tOZqR",P,1
Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!,P,1
@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),P,1
"Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5",P,1
"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo",N,0
"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick",P,1
Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.,N,0
"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!",P,1
Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . http://t.co/zto5m1tw,N,0
"Buenos dias, que buenos eran/siguen siendo Talking Heads...",P,1
@SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii,P,1
Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.,N,0
Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - http://t.co/NRk2uftQ,P,1
Gracias por la hospitalidad!!! ;-) RT @IsabelaTortlini Bienvenido DON @aarbeloa17 a mi humilde morada ;),P,1
"En el Espolón, conmemorando el Día de la Discapacidad http://t.co/52olz4vl",P,1
Los vándalos le arrancan de nuevo el lápiz a Picasso http://t.co/LfyNuArl,N,0
Esto es apoyar de verdad: La @DiputacionMLG  reducirá impuestos a 96 pueblos http://t.co/VIGtaT1k,P,1
Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!,N,0
Que corra el Dewars!!!“@DewarsSpain: @jordievole @buenafuente @julia_otero @santi_millan gracias Jordi”,P,1
Detenida la jefa de una prestigiosa ONG rusa de control electoral http://t.co/leWFa7BO,P,1
Porque no tenemos programa. Gracias @KimyTwitera: @Buenafuente buenafuente por q ya no dais tanta risa???¿¿¿¿???”,N,0
"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  http://t.co/M9poedN7",N,0
"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs",N,0
"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. http://t.co/n2chJhTr",P,1
". @diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas http://t.co/QDcW1amA",N,0
Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.,N,0
Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.,N,0
GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;),P,1
"Preciosa de verdad - Perdóname by Pablo Alborán, from #SoundHound http://t.co/u0CAbR3X",P,1
Ataque de inyección SQL masivo http://t.co/q4usPkRL,N,0
Mira @sblanco nuestro árbol ;-)) http://t.co/gjBkxMpv,P,1
"Je,je!!! Eso es bueno @mkreyes80: @Buenafuente me has hecho llorar... De risa!”",P,1
RT @Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!,P,1
"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.",P,1
RT @Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra #MultiplicoComoPaulinaRubio ja ja ja muy bueno!,P,1
Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?,N,0
"Buenos dias y mil gracias RT @pvcmalaga: Buen día @mariviromero,mi concejala favorita.",P,1
. @JavierArenas_PP  critica que @PepeGrinan pida a @MarianoRajoy una reunión que niega a sus alcaldes  http://t.co/5oMAB1Us,N,0
Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais,N,0
".@sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog http://t.co/aFKafvRL”¿Sólo ha leído dos libros?"" Era una metáfora.",N,0
;-)) RT @cacmalaga: http://t.co/AFmBIYxK @cacmalaga #arte #cultura #pintura #museo #museums,P,1
Rajoy quiere que España vuelva a tener relevancia en Europa http://t.co/RGhPlkBR,P,1
"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" http://t.co/7hoIl9HR via @antonlosada",N,0
"@EvaORegan @antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.",N,0
"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (@carlos_muela ). http://t.co/l28AOIdR",P,1
Palmas por sevillanas para animar a Rafa!! #sevillaciudadtalisman #copadavis,P,1
"'Chico & Rita', premio europeo a la mejor cinta de animación http://t.co/FF7giIse",P,1
Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO,P,1
"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.#VamosRafa #CopaDavis ole @RafaelNadal!!",P,1
"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...",P,1
“@BeaGarciaCHV: @Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos???”te doy mi carta y se la das??jajja bss!,P,1
"“@marinitaMF: @Edurnity Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja",P,1
Viaje a las embajadas catalanas del derroche - ABC.es http://t.co/sD2LV37R via @abc_es,N,0
"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! #VamosRafa",P,1
“@Ryankuletz: Creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)”jaajjajajja,P,1
Amonestado el público argentino en La Cartuja!!!,N,0
... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!,P,1
"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe",P,1
Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.,P,1
"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!",P,1
Grandioso Rafa Nadal!!!!!,P,1
"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..."" ¡Gracias por ser ESPAÑOL!",P,1
"Felicidades a @RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb",P,1
"Fantásticas, a cual mejor “@MarisolCovelo. qué os parece mi foto de #elprimernaufragio ?http://t.co/ZjCzROgC http://t.co/CH3jjGX1”",P,1
Fin a la impunidad en #Internet http://t.co/j7WaLdS3,P,1
A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.,N,0
En el blog: Lágrimas tecnócratas http://t.co/Y7K9awBr,N,0
"""Los ministros d @marianorajoy : fin de la ineptocracia"" @Semanaldigital @PPopular http://t.co/PrsX6XAN",N,0
"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos http://t.co/BP1Bfcl6",N,0
A por @crackoviadeTV3 !!;)) buenos días queridos twiteros!!;)),P,1
Gracias Venezuela!!! http://t.co/UdCRaDkY,P,1
"Bdías, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.",P,1
"¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el ""puente"", mientras en España hay 5 millones de parados?",N,0
"Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir #fueradelaley",N,0
"Sobre ""accidentes""... RT @santigonzalez10 Él había llegado antes http://t.co/yQjNqebS",N,0
Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad http://t.co/Se4fAB9z,P,1
"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - http://t.co/tyMt3Omq",N,0
UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.,N,0
"Y mientras tanto, el verdadero problema se agrava año tras año http://t.co/J4stXBl8",N,0
Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!!!!,P,1
Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via @Clarin_com http://t.co/vgpQHJvs,P,1
El @ppandaluz no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación http://t.co/tAgF97e6  @europapress_es,N,0
"Sí, raritos q somos...  ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria..."" http://t.co/69OM6a3R",N,0
"RT @PerezHilton @paurubio Que triste es esto, Pau! http://t.co/ZKF4LZOH @JonahMowryReal &lt;3! http://t.co/HBdZNwj5",N,0
"Joooooo :-) RT @xaviconde Me dice @Tonicanto1, que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a @Padrinomc.",P,1
Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. http://t.co/kkOrMmiw V @plazaro67,N,0
"Toda suya “@juliosandreu: Sí Sr. La he grabado. Un saludo desde el otro lado, jeje, ( de España ). Buena tarde.”",P,1
Entiendo los unfollow. Aceptar el desconcierto. Y hasta reconocer errores. Pero creo fuera de lugar anunciar venganza radiofónica. Eso no,P,1
;-)))) RT @CarlosSerrato82: #FW para @mariviromero y mucha suerte con tu primera entrevista aquí. El hastag es #YNTERVIUMarivi,P,1
"""España gasta mas en sanidad que tofo el presupuesto en sanidad"" Núñez Feijoo en @Gato_directo",N,0
A las 22.30 mi primera entrevista en directo en Twitter. Si Quieres seguirla busca el hastag #YnterviuMarivi l http://t.co/FVXISuNy,P,1
Feliz dia del voluntario... Los hËroes anónimos... Los del sacrificia por eleccion propia. Gracias por tanto.,P,1
Gracias RT @Pepemaras: #YNTERVIUMARIVI Interesante la entrevista de @mariviromero Nuevas herramientas: nuevas formas de comunicar,P,1
Gracias a ti Paco RT @pacorengel: #YNTERVIUMARIVI @mariviromero Muchísimas gracias. Un beso. La cuelgo en un ratito en http://t.co/yK7PeIva,P,1
"Aunque en menor medida, también lo son muchas que no son madres ;) @ejoana: Supermujeres. Gran post de @virginiapalonso http://t.co/SUTdmagF",P,1
Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España,N,0
"Impresionante! Enhorabuena a @enpiedeguerra y un beso a @chiquiesteban : Percebeiros, de David Beriain, a por el Goya! http://t.co/cP7Ae8Sn",P,1
"Sorgiñas, culebras. Cabrones negros de barba larga.",N,0
"... enough today... la semana es larga, y seguramente más apasionante de lo recomendable.....",P,1
Me voy a leer un rato 'Un día más con vida' de Ryszard #Kapuscinscki. Gran descubrimiento del reportero polaco. ;) http://t.co/cnha2Jy6,P,1
"Despegando ya...que lindo mi pais, que linda mi gente!! --Shak",P,1
"Bono celebra su última fiesta en el Congreso y la pregunta es si habrá un Viva España! Con @JuanraLucas y en RNE, para arrancar.",P,1
"Triste RT @JosepLLuisCerro: RT @skalistrao: ""Papá, ¿nosotros qué somos: catalanes o fachas?"" :: Barcelona :: Cataluña: http://t.co/7WAkfXUO",N,0
Extorsión mafiosa; por Carlos García - en  http://t.co/dBb5qOyt vía @larazon_es,N,0
"No sé de que se sorprenden algunos. El PP presenta unos presupuestos tarde, sin negociar, cargándose la universidad, recortando derechos...",N,0
¿Se plantea Rajoy subir el IVA? http://t.co/G7yi7v96,N,0
"¡Constitución, Constitución!, ¡Cuántos viajes y comidas gratis se han dado en tu nombre!, feliz día.",N,0
BUENOS DÍAS PARTY TIME!!!,P,1
Hoy en el Día de la Constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza #vivalaconstitucion,N,0
Monti dice que no cobrará como primer ministro. Demagogia populista para hacer tragar el ricino de los recortes. La aristocracia financiera,N,0
Chacón confía en la democracia interna de los partidos.. Día de la Constitución. #Congreso,P,1
.@marianorajoy #congreso: Primera ley será desarrollo reforma constitución xra garantizar estabilidad presupuestaria. Lo dirá #ZP n Bruselas,P,1
Empieza el acto de homenaje a la Constitución con el próximo Presidente del Gobierno. #vivalaconstitucion  http://t.co/gRTAQmVu,P,1
Bono a ZP: has dado lo mejor de ti a España en un momento muy difícil. A Rajoy le desea acierto en sus decisiones x el bien de todos.,P,1
"Gallardon habla amigablemente con Zapatero, Guerra con Alonso, Pepiño recibe el cariño de periodistas amigos",P,1
Otro enchufado más antes de que se vaya ZP http://t.co/Jb983lka,N,0
Rajoy rompe su silencio en la fiesta del Congreso plagada de ausentes http://t.co/C52Ex8M0”,N,0
"Las instituciones deberían hacer dl día d l Constitución 1 fiesta cívica d todos,destacando valores democráticos y no 1 acto para políticos",P,1
En alguna CA como Cataluña ni siquiera hay acto institucional en un día como hoy.No interesa recordar #LaConstitucionquenosUne,N,0
Me agrada coincidir con mi amigo mechor en la denuncia de las tecnicas mafiosas en el Euskadi,P,1
"Dios mío, es tan real que da miedo... ¡ánimo mamás trabajadora, nosotras podemos!!! Supermujeres http://t.co/8Ogbj0HR",P,1
"........ ya ya......Griñán ve ""imposible"" ser imputado en el caso ERE http://t.co/BQaNiwnQ",N,0
Gracias por seguirme @RodolfoTesone ;-)),P,1
Y ahí va el editorial. RT por favor. CÃ³mo pasar en el 11-M de impostor a testigo de cargo  http://t.co/gzxljuIl,N,0
A ver... Se aclara lo de las entradas o qué???. Aquí los actores esperando. #terratpack http://t.co/xVRFKJdp,P,1
El Museo de la Cueva de Nerja abre con una previsión de 100.000 visitas al año http://t.co/VsmSAnJJ,P,1
“@lhermoso_: 17 periodistas han sido asesinados durante el último año en Honduras: http://t.co/AEbCvvZZ”,N,0
"Ahora si que me despido! a lavar los piños y ¨pa¨ la cama! Hola @lucia_miguel un beso de buenas noches para ti, que veo que acabas de llegar",P,1
Tu q sabes seguro q me has entendido  @antoniocamunas :),P,1
"Sintonía total entre Rajoy y Zapatero, con importantes matices de Rubalcaba. La recepción del día de la Constitución http://t.co/DFCfKAhA",P,1
Merkel y Sarkozy se rinden a los encantos del presidente Rajoy http://t.co/b79seDyj vía @Semanaldigital,P,1
"RT @nurvaca: Sr. Mas, no garantizar una sanidad publica de calidad universal es anticonstitucional ,por eso no celebra dia  constitucion?",N,0
"Buenos días. Sin Presidente del Gobierno pleno y sin verdadero líder d la oposición, los partidos se ponen d acuerdo. Luego es posible!",N,0
"Europa se construye recortando Estado del Bienestar? Austeridad si, pero inteligente: Estado del Bienestar moderno e inversión cree empleo",N,0
No dejeis de ver el video que acabo de RT con la declaración de J-70. Fijaos en Bermudez en los minutos 17 y 21. Zougam merece otro juicio.,P,1
"#Bdías!! vaya tiempo que hace hoy: niebla, que parece que estamos en la boca del lobo, y frío, mucho frío. Apetece algo calentido pal cuerpo",N,0
"Buenos días,os adjunto mi columna hoy en @abc_es sobre la necesidad d una reforma constitucional http://t.co/xxg5WzUk",P,1
"De dónde saldrá el dinero para el banco malo de Rajoy, según el WSJ.  http://t.co/hn1cffmm",N,0
A vosotros RT @TuDNIe: Gracias Marivi RT @mariviromero Me encanta ver por aqui a @TuDNIe ;-)),P,1
Sobre una amiga y compañera de partido... http://t.co/DIdNQLdJ,P,1
Interesante análisis de @iurquizu sobre los retos del socialismo. http://t.co/KMWhgzqd,P,1
"igualmente!!!“@susannagriso: Te responderé dentro de nueve meses, @Buenafuente. Un inmenso placer tenerte hoy en @ESPEJOPUBLICO.”",P,1
"A las 3 en @A3noticias, los pilotos de Iberia ponen en riesgo el viaje de Navidad de miles de personas: huelga los días 18 y 29 de diciembre",N,0
Queremos potenciar y estimular a los mejores alumnos. Será impartido por profesores funcionarios.,P,1
"La novia de Cristiano Ronaldo, Irina de nombre, prefiere ""jugar"" sin camiseta, se vé que no aprecia tanto los colores. http://t.co/7hNdwoDD",N,0
"Por qué no se exige a los bancos intervenidos con dinero público una linea d crédito para PYMES, autónomos y nuevas empresas que contraten?",N,0
"Otra lectura navideña recomendada: El reto de Rajoy, de @oscarelia y Rafa Bardají",P,1
¿Por qué el felipismo suspende su cena conciabulo? Se lo contamos en el @TelediarioInter 20:30,N,0
Sinde echa mano de chequera para beneficiar a sus amigos. Se lo contamos en nuestro Top secret. @TelediarioInter 20:30,N,0
Andalucía pretende 'robar' los colegios de los curas y monjas. Se lo contamos en el @TelediarioInter 20:30,N,0
De la Torre espera llegar a un acuerdo con el Puerto por el traslado de los cruceristas http://t.co/9QCE54mX,P,1
El Ayuntamiento plantea un proyecto que mejora la accesibilidad del Teatro Romano http://t.co/vVOaFm3p,P,1
Yo nunca he dicho eso “@JorgeAlacid1: @martagllera @pedroj_ramirez Pero no habíamos quedado en que fue ETA?”,N,0
Hoy en el Gato: Juan Rosell. A favor del banco malo? http://t.co/Babt1ab7,N,0
Mañana contamos en EL PAÍS la charla con la que Iñaki Urdangarín convenció a Jaume Matas para firmar el convenio de Nóos. ¿De ...,P,1
Llaman a IU antisistema por denunciar la reforma que los mercados han hecho a la Constitución. ¿Y ellos que son? ¿Anticonstitucionales?,N,0
Jeje.. RT @MariadeOnate @Tonicanto1 Lo siento pero esta mañana me he echado unas risas a tu costa ;),P,1
"Interesante: militantes @PSOE q votan delegados Congreso RT “@ReginoMateo: Guadalajara, abriendo camino http://t.co/PWPGYClW” V @martagaston",P,1
Una lástima lo de hoy pero esto no termina acá. En el fútbol siempre hay revancha y tenemos equipo para pelear por grandes cosas,N,0
A vosotros siempre ;-)) RT @90mn90d: @mariviromero Gracias! :),P,1
Gracias a los 40 principales Chile que se ha unido a http://t.co/CyYeL9dS podeis visitar la (cont) http://t.co/t0lTwsd1,P,1
"Ahora dicen que regalan la CAM al Banco Sabadell a cargo del fondo de garantía. Se olvidan del FROB, financiado con fondos públicos.",P,1
Mis disculpas a @jcacho por confundirlo con Jesús Cacho.,N,0
El duque ofreció a Matas su amistad con Leblanc para llevar el Tour a Baleares y lograr el contrato del millón ... http://t.co/7Sv2OP3F,P,1
Rajoy acaba de entrar en la asamblea del PP Europeo. Sonriente y a punto de comenzar maratón de reuniones,P,1
La heredera en la sombra del imperio Zara http://t.co/hVyUUwYQ,P,1
"+10 RT: “@carlos__alsina: Los lectores de Chaves Nogales, de enhorabuena. http://t.co/9IW7y0sT”",P,1
"Excelente resumen de la presentación del último disco de Bebe, escrito  por Fermín Zabalegui @1000maneras http://t.co/5MkZ8opU",P,1
Y el menú increíble http://t.co/n5UILJXl,P,1
España es el país con más sobrecualificación laboral de toda la Unión Europea http://t.co/ebgd7Zoc,N,0
@sanchez_sonia ya nos contarás si explota Europa (como dice Sarkozy),N,0
"Rajoy cumple lo que   le manda la troika : Más recortes sociales,  el banco malo pagado por los ciudadanos y devaluar empleo y  salarios",N,0
Los videos sobre la final de la Copa Davis subidos a Youtube alcanzan más de 580.000 visitas #copadavis,P,1
"La bolsa baja, la prima sube. ¿La razón? Que el BCE sigue negándose a actuar en el mercado de la deuda por el veto alemán.",N,0
El Gobierno en funciones indulta a dos empresarios condenados por defraudar 27 millones http://t.co/kwR10L1Q / vía @iescolar,N,0
"RT @PaquiVicente: Cosmeticos de lujo y una suite en Moscu el despilfarro final de Sinde http://t.co/uJofOOuh Ah bueeeno, es que la Suite ...",N,0
Me parece indignante que la Ministra Sinde gaste 1180 e por noche en un hotel de Moscú . Con  1 noche come 1 familia de 4 personas 3 meses,N,0
Q lo paguen ellos RT @joseantoniodelp: @mariviromero @migar_ @miguehijano @ahora_andal Últimos días de Mentiras y gordas. saludos,N,0
"es verdad “@NataliaPastor:  Pero a Miguel Montes no, el preso más antiguo de España que lleva 35 años en la cárcel.Vergonzoso y vomitivo.”",N,0
Que bien esta @icacabelos en el @TelediarioInter enhorabuena pelirroja!,P,1
"Será temprano, pero yo me muero de sueño!!!! Que descanséis todos!!!!  Muak",P,1
"Lo que has de hacer, hazlo pronto “@rafiln: @isangeis pues mira... Cuando me lea EPN de @pedroj_ramirez me lo leeré. :) jaja!”",P,1
"Los líderes de los 27 siguen discutiendo, sus portavoces vendiéndonos que hay acuerdo en el fondo pero que discuten la forma... #euco",N,0
"Hoy la Ertzaintza ha descubierto un""ZULO""con armamento de ETA oculto en montes de Bizkaia entre municipios de Abadiano y ELORRIO",N,0
"Curiosidad del insomne. Rajoy pide poder de bloqueo sobre fondo de rescate. Si no se lo dan, ¿sería fracaso suyo, de ZP o de los dos?",N,0
"http://t.co/9LcJhqsb os dejo con las fotos del concierto de Palma de Mallorca, veréis que visita de lujo he recibido esta noche...",P,1
".@paugasol hace dos días:""Muchos rumores estos días... Yo me centro en el trabajo diario y en la ilusión de volver a jugar con mi equipo!”",P,1
Resumen de la larga y agria noche en Bruselas: pacto fiscal sin Reino Unido y otros http://t.co/Kgw6ZHwX by @basteiro #euco,N,0
Bdías. Que el Reino Unido se quede fuera indica que los paises del euro han dado un paso clave en la buena dirección de la Unión Fiscal.,P,1
"Rajoy actuó ayer por primera vez como jefe de Gobierno y entró en Europa pisando fuerte, prometiendo y exigiendo. Lo mismo que hizo Aznar.",P,1
Última entrada de #ZP al Consejo UE. Sonriente #euco,P,1
"A la ofensa, oídos sordos. Es jodido cuando te arrancan la mandíbula de un zarpazo #malditosorcos",N,0
Ahora??? #toolate ....Zapatero ofrece rigor en nombre de Rajoy para recobrar peso en la UE http://t.co/IgiEjbrU,P,1
RT: “@ojomagico: Un periodista obtiene el documento que explica a qué tiene miedo el Reino Unido. http://t.co/crxjc6dp”,N,0
RT @sanchez_sonia Papelón #ZP entre el chipriota y el irlandés sin traductores y sin poder hablar. En adelante el papelón será de Rajoy,N,0
"Merkel, Sarko y Barroso charlando en pie. Cameron sentado solo con cara de enfado #euco",N,0
Encontrado nuevo zulo con explosivos en el País Vasco. Mientras ETA exista el camino es seguir combatiéndola.,N,0
